utterance,utter_entity_1,utter_entity_2,utter_entity_3,utter_entity_4,utter_entity_5,utter_entity_6,utter_entity_7,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,intents
Make an appointment for an 30 minutes interview with Randall for march 15 at 3pm in the principal office,Randall,15-Mar,3pm,30 minutes,Principal Office,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
"Schedule an interview with Ivan Fenix on 12 of March 15:00 for 30 minutes, which will be in NY office.",Ivan Fenix,12 of March,15:00,30 minutes,NY,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
Appoint a 1 hour interview with Albert on date February the third at 3 PM on the HR office.,Albert,February the third,3:00 PM,1 hour,HR office,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
"Please, schedule the Peter's interview to January 20, Monday. It will last 30 minutes, I need to talk to him via Skype.",Peter,20-Jan,Monday,30 minutes,Skype,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
schedule an interview with juan for friday 04/01/2020 in the park taht lasts 1 hour,juan,4/1/2020,friday,1 hour,park,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
Could you please have an interview scheduled with Tony on 3/12/2020 at 3 pm for 45 minutes at my Silicon valley's office?,Tony,3/12/2020,3:00 PM,45 minutes,Silicon Valley,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
schedule an interview with mary in moscow on february 10th in 9am for 2hours.,Mary,february 10th,9am,2hours,moscow,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
Schedule a 1 hour interview with Daniel on january 27 at 3pm in Boston,Daniel,27-Jan,3pm,1 hour,Boston,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
andrea your intervie weill be on nov 12 at 7 am in medellin with a duration of 12 minutes,andrea,12-Nov,7:00 AM,12 minutes,medellin,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
Schedule interview with jason ocktard on 1 june at ten o'clock it will last 2 hours and will be on central park,Jason Ocktard,1-Jun,Ten o'clock,2 hours,Central Park,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
"I need to schedule an interview with Doris Day, on august 20th, at 3 pm, with a duraction of 30 minutes in Wallmar, suite 300",Doris Day,august 20th,3:00 PM,30 minutes,"wallmar, suite 300",,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
I would like to meet Sofija on the 10th of February at 10:00 in Skopje for an interview that would last for half an hour.,Sofija,10th of February,10:00,half an hour,Skopje,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
"Please have Joanie's interview scheduled for 30 minutes on the 14 of April, in the Trump room starting with 14:30.",Joanie,14 of April,14:30,30 minutes,Trump room,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
I need to retrieve the feedback for the interview with Wendy on december 10,Wendy,10-Dec,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
Retrieve Interviewer's Feedback of Serg Romanov which has been 12 of January.,Serg Romanov,12 of January,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
Give me information about Carla's interview done on February 23.,Carla,23-Feb,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
I need the all the information that you got of the Daniel interview that was made 01/01/2020 at 13:00,Daniel,1/1/2020,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
henry what do you have to say about the interview on jan 20,henry,20-Jan,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
I want to know how was the feedback on January 26 on Freddie's interview.,Freddie,26-Jan,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
hector your interview will be on july 4,hector,4-Jul,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
recover me the interviewr's comments made to pedro on 01/02/2020,pedro,1/2/2020,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
what is the feedback from manuel interview on january 10th.,manuel,january 10th,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
We need the feedback of the interview done onjune 2nd of Peggy White,Peggy White,june 2nd,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
petra your interview date will be on sep 11,petra,11-Sep,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
