utterance,utter_entity_1,utter_entity_2,utter_entity_3,utter_entity_4,utter_entity_5,utter_entity_6,utter_entity_7,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,intents
Must go to see my parents.,3/1/2020,3/6/2020,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
Please make plans for traveling from december 20 until january 2,20-Dec,2-Jan,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
"I need to schedule a long vacation, specificly a month, this is from September 1st to October 1st, to Hawai, and check in at Hilton Hotel.",September 1st,October 1st,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
I wish a pleasure holiday from December 15th to December 25th please,December 15th,December 25th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
Requesting a vacation starting on 12 of January and ending 12 of February,12 of January,12 of February,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
I want a vacation starting on june 10th and ending on june 15th,june 10th,june 15th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
"hi , am soliciting a vacations of 02/15/2020 to 03/25/2020 , i need rest a little , thanks",2/15/2020,3/25/2020,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
I need to take my vacations to start on june 01st and end on august 02nd,june 01st,august 02nd,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
I want my reglamentary vacation time from September 2 to 30 because I go on vacation to Disney with my family,2-Sep,30-Sep,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
Requesting vacations from july 20 to august 15,20-Jul,15-Aug,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
I want to take vacations the day 14/02 to the 5/03,14/02/2020,5/3/2020,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
i want to request a vacation from 20/02/2020 to 28/02/2020,20/02/2020,28/02/2020,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
